State/UT,Total
Andaman & Nicobar Islands,158
Arunachal Pradesh,20
Assam,43057
Bihar,58014
Chandigarh,1768
Chhattisgarh,11881
Delhi,125347
Goa,1312
Gujarat,13063
Haryana,24206
Himachal Pradesh,615
Jammu & Kashmir,1321
Jharkhand,10954
Karnataka,72544
Kerala,11959
Ladakh,6
Maharashtra,52506
Manipur,519
Meghalaya,33
Mizoram,19
Nagaland,53
Odisha,9887
Puducherry,1386
Punjab,8069
Rajasthan,46862
Sikkim,23
Tamil Nadu,44817
Tripura,7103
UT of Dadra & Nagar Haveli and Daman & Diu,127
Uttarakhand,23428
Uttar Pradesh,255700
West Bengal,43384
Grand Total,870141
